BCL6_BM,BCL6_H_GM_CSF,BCL6_H_M_CSF,BCL6_H,WHIM_BM,WHIM_H_GM_CSF,WHIM_H_M_CSF,WHIM_H,WT_BM,WT_H_GM_CSF,WT_H_M_CSF,WT_H,Gene
26.16681635,33.79223926,34.35887015,78.42985252,70.35422711,26.29435038,39.25775451,89.05925219,51.81187553,30.09359002,24.37239658,59.36574112,Cops3
4.845706731,1.689611963,1.454150738,2.503145494,2.842040238,1.683383828,2.532758356,4.449863028,15.96718177,2.69258437,2.185680235,3.812165357,Fam221a
44.32348564,3.939963897,13.22043109,24.71087404,23.5474849,4.588514501,9.477850393,23.42276746,76.2586084,2.094091499,6.324162661,31.93939682,Xndc1
59.50527865,7.022449722,42.32914895,54.05374408,66.22784014,9.460351786,41.21488597,60.88682162,33.88952865,4.85721102,3.505666139,82.27591059,Pole
55.62871327,3.678918848,11.21327075,11.80545007,15.11237334,3.933132668,8.330856234,13.68412903,47.84419379,4.011633936,2.268158734,23.85350804,Recql4
120.94884,33.26423552,35.86651005,37.35579342,41.01351461,36.52948117,35.06197167,40.67325613,64.19458792,43.76769495,29.85721679,47.73148632,Minpp1
59.92646748,95.59085282,49.63488086,100.3580593,99.98584956,87.29900838,52.19477719,116.7560045,74.25831156,54.25346322,154.5935754,96.78160622,Mxd4
33.15645756,10.45447402,16.92030148,21.05727385,22.55985995,12.5849985,14.58254811,16.78684044,16.29304262,10.3292288,8.061984643,25.0592663,Noc3l
35.276745,90.28863928,60.209700839999996,36.0106817,40.82255506,100.7461194,60.67107515,30.62754434,51.97480596,106.9114382,58.47725609,32.34337358,Ndel1
19.91120278,12.73381336,16.28857124,17.80039296,17.71076451,15.55056923,14.05270274,18.75366277,18.45512938,12.75540571,18.93920791,21.20240827,Vps33b
7.365474231,7.339251965,14.58080875,18.80861835,21.68249977,6.29249925,7.252898927,20.40813325,6.02842577,6.335492635,5.856014698,24.86960381,Yars2
26.74830115,10.5072744,12.77294567,9.943188257,11.1446297,8.617116807,14.19879684,9.697699411,18.89992944,11.6678656,11.95938242,16.22877796,Ngrn
662.5282836,942.5764338,447.6268986,1031.755277,1071.663121,645.305818,348.9569225,1287.105672,622.9970707,923.0126424,457.1577027,722.9321532,Rpl23a
307.8903908,188.3040853,103.4985893,97.81976495,121.4247322,197.4858806,46.3613742,141.7064051,166.5214128,236.4395292,81.69701564,133.449931,Myl12b
117.2661029,191.5597563,86.1486059,106.2808619,127.6363464,189.7368882,128.7869249,111.1859651,89.28587356,212.0278202,116.2946842,102.0924466,Stk24
27.52361423,38.01626917,43.34941255,30.10769591,36.18013023,37.7549955,36.57149565,43.45551382,93.35913422,39.12166702,23.91876483,49.48506568,Pgp
51.36429752,553.7016804,141.1575563,266.1509889,244.9238344,909.3142371,124.8335193,242.2144666,48.39033658,761.9274626,229.0407309,329.1842417,Furin
24.03470538,150.3754647,53.29265949,38.86882682,35.95659897,234.8665325,78.43875877,23.56909224,31.28264183,130.9863102,102.1496215,24.83329782,Mink1
17.83220077,19.53613832,22.24457616,9.039262052,12.32615205,20.03980653,26.86258862,8.56220929,7.331869179,15.6275485,26.92923006,9.221721704,Ccser2
30.81888864,12.7252597,15.28835134,24.01401647,27.26902482,14.90236165,14.7399245,31.51476108,51.97464303,13.42934374,12.2527172,27.8820571,Wdr83
32.56314923,32.14312519,27.35096403,12.10989937,14.73514838,33.58238714,33.43927944,11.58522157,22.15853796,38.18063518,28.84607163,15.02585156,Tmem68
4.269261458,7.710438593,12.08485727,12.41236699,53.98152069,11.13091014,8.135526839,41.84526607,21.34388583,7.972161566,10.76567109,16.5568752,Tchp
